2019-11-27 14:19:57.021 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:308] - buildDefaultMergedContextConfiguration() - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests], using SpringBootContextLoader 
2019-11-27 14:19:57.028 [main] INFO  [o.s.t.c.s.AbstractContextLoader:264] - generateDefaultLocations() - Could not detect default resource locations for test class [com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2019-11-27 14:19:57.030 [main] INFO  [o.s.t.c.s.AnnotationConfigContextLoaderUtils:83] - detectDefaultConfigurationClasses() - Could not detect default configuration classes for test class [com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests]: HqMultiCustomerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2019-11-27 14:19:57.152 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:235] - getOrFindConfigurationClasses() - Found @SpringBootConfiguration com.hq.customer.HqMultiCustomerApplication for test class com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests 
2019-11-27 14:19:57.275 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:248] - getDefaultTestExecutionListenerClassNames() - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2019-11-27 14:19:57.291 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:177] - getTestExecutionListeners() - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@50dfbc58, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4416d64f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6bf08014, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5e3d57c7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@732d0d24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1fb19a0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6ee4d9ab, org.springframework.test.context.event.EventPublishingTestExecutionListener@5a5338df, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@418c5a9c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@18e36d14, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5082d622, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@13d4992d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@302f7971] 
2019-11-27 14:19:58.139 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] - postProcessAfterInitialization() - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$d132a035] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-11-27 14:19:58.410 [main] INFO  [o.s.c.c.c.ConfigServicePropertySourceLocator:241] - getRemoteEnvironment() - Fetching com.hq.multi.config from server at : http://localhost:8888
2019-11-27 14:19:59.508 [main] INFO  [o.s.c.c.c.ConfigServicePropertySourceLocator:265] - getRemoteEnvironment() - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available 
2019-11-27 14:19:59.509 [main] WARN  [o.s.c.c.c.ConfigServicePropertySourceLocator:151] - locate() - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/hq-multi-customer/default": Connection refused: connect; nested com.hq.multi.exception is java.net.ConnectException: Connection refused: connect
2019-11-27 14:19:59.527 [main] INFO  [c.h.c.h.HqMultiCustomerApplicationTests:651] - logStartupProfileInfo() - No active profile set, falling back to default profiles: default 
